ตำบล,ประกอบกิจการ,คนงานรวม,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,หมู่,ผู้ประกอบการ,GPSlat,ซอย,ชื่อโรงงาน,ไปรษณีย์,คนงานหญิง,_id,อำเภอ,GPSlong,เงินทุนรวม
คลองโยง,ถอดแยก บดย่อย อุปกรณ์ไฟฟ้า สายไฟ และชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วทำเชื้อเพลิงผสม ทำเชื้อเพลิงทดแทน เก็บรวบรวมแบตเตอรี่ที่ใช้แล้วโดยไม่มีการแปรสภาพ คัดเเยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,15,,เลขที่ 44/37,10,นครปฐม,,4,บริษัท พีเอส.คลองโยง รีไซเคิล จำกัด,,,บริษัท พีเอส.คลองโยง รีไซเคิล จำกัด,73170,5,71,พุทธมณฑล,,32000000
ตลาดจินดา,ถอดแยกชิ้นส่วนอุปกรณ์ไฟฟ้า และอิเล็กทรอนิกส์ เพื่อนำโลหะกรับมาใช้ประโยชน์ใหม่,70,,เลขที่ 99,40,นครปฐม,,6,บริษัท หัง ไท่ เมทอล อิเล็กทรอนิกส์ เทรดดิ้ง จำกัด,,,บริษัท หัง ไท่ เมทอล อิเล็กทรอนิกส์ เทรดดิ้ง จำกัด,73110,30,72,สามพราน,,12300000
วัดละมุด,ผลิตปุ๋ยอินทรีย์และสารปรับปรุงคุณภาพดิน จากผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงาน ผลิตอิฐบล็อก อิฐตัวหนอน จากวัสดุที่ไม่เป็นของเสียอันตราย และผลิตเชื้อเพลิง RDF จากเศษพลาสติก,10,,เลขที่ โฉนดที่ดินเลขที่ 38080,10,นครปฐม,,4,บริษัท อิฐไทย88 จำกัด,,,บริษัท อิฐไทย88 จำกัด,73120,0,73,นครชัยศรี,,6500000
ดอนตูม,ถอดแยกเครื่องใช้ไฟฟ้า อุปกรณ์อิเล็กทรอนิกส์ และแผงโซลาร์เซลล์ที่ใช้งานแล้ว บดย่อยชิ้นส่วนเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กรอนิกส์ที่ใช้งานแล้ว และอบกากตะกอนที่มีโลหะมีค่าจากอุตสาหกรรมชุบโลหะ อุตสาหกรรมสกัดผิวโลหะ และอุตสาหกรรมอิเล็กทรอนิกส์ ,60,,เลขที่ 55/1,38,นครปฐม,034-995508,11,บริษัท แอลวาย เมทัล อินดัสทรี จำกัด,,,บริษัท แอลวาย เมทัล อินดัสทรี จำกัด,73130,22,74,บางเลน,,19000000
บ้านใหม่,ผลิตแบะแซและกลูโคส,88,เพชรเกษม,เลขที่ 67,59,นครปฐม,4201738,1,บริษัท นครหลวงกลูโคส จำกัด,13.70341667,วัดเทียนดัด,บริษัท นครหลวงกลูโคส จำกัด,73110,29,75,สามพราน,100.2470167,20000000
บ้านใหม่,ผลิตกลูโคสผง กลูโคสไซรัป และฟรักโทสไซรัป 42%,73,เพชรเกษม,เลขที่ 32/8,65,นครปฐม,02-4290023,1,บริษัท ไทยกลูโคส จำกัด,13.70343333,วัดเทียนดัด,บริษัท ไทยกลูโคส จำกัด,73110,8,76,สามพราน,100.2470333,178116823
ตลาดจินดา,ผลิตแบะแซ ผงกลูโคส น้ำเชื่อมกลูโคส น้ำเชื่อมฟรักโทส มอลโทเดกซ์ทรินชนิดผง มอลโทเดกซ์ทรินชนิดเหลว กลูโคสซีรับผง เดกซ์โทรสชนิดผง ชนิดเหลวและน้ำเชื่อมอินนูลิน,14,พระประโทน-บ้านแพ้ว,เลขที่ 72,12,นครปฐม,034-981410,6,บริษัท ดับเบิ้ลยูจีซี จำกัด,13.67006667,-,บริษัท ดับเบิ้ลยูจีซี จำกัด,73110,2,77,สามพราน,100.0886333,120000000
ตลาดจินดา,ผลิตแบะแซ ผงกลูโคส น้ำเชื่อมกลูโคส,40,พระประโทน-บ้านแพ้ว,เลขที่ -,25,นครปฐม,034-307717,6,บริษัท ยูไนเต็ด กลูโคส จำกัด,13.73281,-,บริษัท ยูไนเต็ดกลูโคส จำกัด,73110,15,78,สามพราน,100.16041,120000000
อ้อมใหญ่,ทำเวเฟอร์ ชอคโกแลต ลูกกวาด ท๊อฟฟี่ หมากฝรั่ง ข้าวเกรียบกุ,84,เพชรเกษม,เลขที่ 42/2,64,นครปฐม,4201348,2,บริษัท แหลมทองอุตสาหกรรมอาหาร จำกัด,13.70763333,-,บริษัท แหลมทองอุตสาหกรรมอาหาร จำกัด,73160,20,79,สามพราน,100.27185,10000000
บ้านใหม่,ทำลูกกวาด ขนมหวานและหมากฝรั่ง,130,เพชรเกษม,เลขที่ 32/5,50,นครปฐม,4201738,1,บริษัท โรงงานลูกกวาดเม่งเซ้ง จำกัด,13.70356667,วัดเทียนดัด,บริษัท โรงงานลูกกวาดเม่งเซ้ง จำกัด,73110,80,80,สามพราน,100.24705,73000000
ลำลูกบัว,ผลิตไอศกรีม,170,พลดำริห์,เลขที่ 79,67,นครปฐม,,3,บริษัท เอฟแอนด์เอ็น ยูไนเต็ด จำกัด,13.75786262,,บริษัท เอฟแอนด์เอ็น ยูไนเต็ด จำกัด,10150,103,81,ดอนตูม,100.3088874,1093880000
ท่าตลาด,ผลิตไอศกรีม,22,เพชรเกษม,เลขที่ 34/1,7,นครปฐม,034-321263,4,บริษัท โรงงานเชอร์รี่ไอศกรีม จำกัด,13.73675,วัดไร่ขิง-สนามกอล์ฟ,บริษัท โรงงานเชอร์รี่ไอศกรีม จำกัด,73110,15,82,สามพราน,100.2480167,8550000
ทัพหลวง,ทำโกโก้ ช็อคโกแลต และทำขนมจากน้ำตาล เพิ่มประเภทฉีดขวดพลาสติก,18,-,เลขที่ 88/8,8,นครปฐม,034-291177,2,บริษัท เอ็นเบิร์ก ฟู้ดไทย จำกัด,13.89673333,วัดทุ่งรี,บริษัท เอ็นเบิร์ก ฟู้ดไทย จำกัด,73000,10,83,เมืองนครปฐม,100.0059333,22000000
ธรรมศาลา,ทำน้ำพริกสำเร็จรูปและผลไม้กระป๋อง ทำพืชผักผลไม้บรรจุกระป๋อง และทำน้ำดื่มจากผลิตผลทางเกษตรกรรม,230,เพชรเกษม,เลขที่ 245,22,นครปฐม,034-305881-3,1,ห้างหุ้นส่วนจำกัด น้ำพริกแม่ศรี,13.81388333,,ห้างหุ้นส่วนจำกัด น้ำพริกแม่ศรี,73000,208,84,เมืองนครปฐม,100.1132667,152000000
