ถนน,เลขที่,ซอย,ประเภท,เงินทุน,แรงม้า,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
มาเจริญ,เลขที่ 159,,105,"63,000,000","2,992.81",69,34,3-105-68/60,69,บริษัท เหล็กหมุนเวียน จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,02-8121576,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,
,เลขที่ 8,ราษฎร์บูรณะ,105,"9,000,000",300,70,14,3-105-72/59,70,บริษัท เจ พี เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,0287220724,10140,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,
ติวานนท์,เลขที่ 159,,101,"46,000,000",461.67,71,21,3-101-1/35ปท,71,บริษัท สวนอุตสาหกรรมบางกะดี จำกัด,บำบัดน้ำเสียรวม,0-2501-1364,12000,บางกะดี,เมืองปทุมธานี,ปทุมธานี,5
แพรกษา,เลขที่ 333,แพรกษา 10/2,106,"10,000,000",62,72,20,3-106-17/52สป,72,บริษัท ที เอ็น ค้าถัง จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันและตัวทำละลายใช้แล้ว ซ่อมและล้างบรรจุภัณฑ์,08 6985 4551,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,4
แพรกษา,เลขที่ 297,แพรกษา 7,106,"1,200,000",90,73,5,3-106-23/58สป,73,บริษัท กรีนเซฟรีไซเคิ้ล จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว ทำเชื้อเพลิงผสมจากเศษผ้าปนเปื้อน กากสี และไส้กรองน้ำมันที่ใช้แล้ว ล้างภาชนะบรรจุด้วยตัวทำละลาย,,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,2
พหลโยธิน กิโลเมตรที่ 33,เลขที่ 54,-,101,,123.5,74,8,3-101-1/52ปท,74,บริษัท ไก่สดเซนทาโก จำกัด,ระบบบำบัดน้ำเสียรวม,,12120,คลองหนึ่ง,คลองหลวง,ปทุมธานี,5
เสรีไทย,เลขที่ 60/50,,105,"1,900,000",89,75,7,3-105-3/60,75,บริษัท คูซุ่นฮวด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10240,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,3
ประชาชื่น,เลขที่ 3,โชติวัฒน์ ซอย 14,105,"13,000,000",255,76,10,3-105-81/48,76,ซั่งเฮงจั่น,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษโลหะ เศษกระดาษ อัดกระป๋องและตัดโลหะ,02-5852521,10800,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,
แพรกษา,เลขที่ 333/9,-,106,"15,000,000",729,77,12,3-106-32/54สป,77,บริษัท บี.ซี.แอล.ซัพพลาย จำกัด,ทำเชื้อเพลิงผสม (Blending) จากน้ำมันหล่อเย็น วัสดุปนเปื้อนน้ำมันและตัวทำละลาย เก็บรวบรวมแบตเตอรี่โดยไม่มี การแปรสภาพ ทำเชื้อเพลิงทดแทน ล้างบรรจุภัณฑ์ด้วยตัวทำละลาย นำกากตะกอนจากอุตสาหกรรมชุบโลหะและอุตสาหกรรมอิเล็กทรอนิกส์ ที่มีโลหะมีค่ามาผ่านกระบวนการอบแห้งเพื่อส่งออก บดย่อยเศษพลาสติกที่ชุบสีหรือเคลือบผิว บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ ทำเม็ดพลาสติกเกรดบี คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป,,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,4
พหลโยธิน,เลขที่ 60/1120,-,101,,60,78,,3-101-1/54ปท,78,บริษัท โออิชิ เทรดดิ้ง จำกัด,"โรงงานปรับคุณภาพของเสียรวม ได้ 3,000 ลูกบาศก์เมตรต่อวัน",,12120,คลองหนึ่ง,คลองหลวง,ปทุมธานี,19
รัชดาภิเษก,เลขที่ 743/7,เสือใหญ่อุทิศ,105,"12,900,000",228.5,79,10,3-105-48/59,79,ธวัช รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,029300668,10900,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,
พหลโธยิน,เลขที่ 999,,101,"83,000,000","2,124.20",80,14,3-101-2/35ปท,80,บริษัท นวนคร จำกัด,"บำบัดน้ำเสียรวม ได้ 26,000 ลูกบาศก์เมตร/วัน",5291903,12120,คลองหนึ่ง,คลองหลวง,ปทุมธานี,20
พุทธรักษา,เลขที่ 279,-,106,"5,000,000",720,81,15,3-106-36/54สป,81,ห้างหุ้นส่วนจำกัด กวิน.พี.เอ.อินดัสทรี,บดย่อยชิ้นส่วนอุปกรณ์อิเล็คทรอนิกส์และตะกรันเหล็ก และคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,1
อ่อนนุช,"เลขที่ 25,27",อ่อนนุช 80,105,"7,000,000",119,82,7,3-105-88/59,82,บริษัท คูเซ่งฮวด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วไม่เป็นของเสียอันตราย,,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,
