ประกอบกิจการ,คนงานหญิง,หมู่,ถนน,TSIC,เงินทุนรวม,เลขทะเบียนเดิม,โทรศัพท์,FID,factype,GPS_lng,_id,ลำดับ,แรงม้า,อนุญาต,ชื่อโรงงาน,ตำบล,GPS_lat,ซอย,อำเภอ,เลขที่,คนงานชาย,สิ้นอายุ,จังหวัด,คนงานรวม,ไปรษณีย์
ทำน้ำแข็งก้อนเล็ก,6100000,-,,126000000000,,3-14-4/29นบ,,-10120000425292-,,12/11/1443,62,62,11,2400,บริษัท ธวัชชัยน้ำแข็งหลอด จำกัด,บางกระสอ,12/11/1443,นนทบุรี 20,เมืองนนทบุรี,เลขที่ 3/4,7000000,1,นนทบุรี,3000000,
ผลิตน้ำแข็งหลอด,14000000,5,ตลิ่งชัน-สุพรรณบุรี,3330000000000,,3-14-51/61นบ,,-10120005125616-,,17/06/1476,63,63,12,3420,ปัน ปัน น้ำแข็งหลอด,บางแม่นาง,31/10/1475,,บางใหญ่,เลขที่ 66/6,5000000,1,นนทบุรี,2000000,
ผลิตน้ำแข็งซอง กำลังการผลิต 937 ซองต่อวัน และน้ำแข็งก้อนเล็ก กำลังการผลิต 144 ตันต่อวัน,57500000,6,ลาดบัวหลวง-ไทรน้อย,127000000000,,3-14-65/47นบ,,-10120006525475-,,01/11/1462,64,64,63,24833,บริษัท ไอยรา-ไทรน้อย จำกัด,ราษฎร์นิยม,22/09/1461,-,ไทรน้อย,เลขที่ 100,6500000,1,นนทบุรี,6000000,
ผลิตน้ำแข็งก้อนเล็กและน้ำแข็งซอง,15000000,1,รัตนาธิเบศร์,106000000000,,3-14-68/53นบ,,-10120006825537-,,16/09/1470,65,65,15,7221,บริษัท โรงน้ำแข็ง สยามราชพฤกษ์ จำกัด,ไทรม้า,24/11/1467,ท่าอิฐ,เมืองนนทบุรี,เลขที่ 8/8,25000000,1,นนทบุรี,3000000,
ทำน้ำแข็งซองและน้ำแข็งก้อนเล็ก,41000000,5,ราชพฤกษ์,126000000000,,3-14-9/53นบ,,-10120000925531-,,05/09/1468,66,66,6,5380,บริษัท ราชพฤกษ์ ไอซ์ จำกัด,บางพลับ,12/03/1467,บางพลับ 8,ปากเกร็ด,เลขที่ 33/8,0,1,นนทบุรี,500000,
"ผลิตน้ำแข็งซอง
",40000000,1,นนทบุรี 1,106000000000,,3-14-93/57นบ,,-10120009325576-,,19/04/1473,67,67,18,1284,บริษัท นทพร จำกัด,บางกระสอ,18/12/1471,นนทบุรี 20,เมืองนนทบุรี,เลขที่ 86/409,8000000,1,นนทบุรี,10000000,
ผลิตเบียร์ ประมาณปีละ 200 ล้านลิตรต่อปี,0,2,สุพรรณบุรี-บางบัวทอง,106000000000,,3-19(2)-1/38นบ,,-10120000125389-,,15/04/1452,68,68,0,189600,บริษัท ไทยเอเชีย แปซิฟิค บริวเวอรี่ จำกัด,ไทรใหญ่,16/03/1452,หลักกิโลเมตรที่ 45,ไทรน้อย,เลขที่ 111,0,1,นนทบุรี,0,
ผลิตเบียร์,20000000,1,,136000000000,,3-19(2)-1/68นบ,,-10120001125685-,,,69,69,14,3200,บริษัท บรูว์สเตชั่น จำกัด,ราษฎร์นิยม,02/01/1482,,ไทรน้อย,เลขที่ โฉนดที่ดินเลขที่ 62655,0,0,นนทบุรี,5000000,
หีบฝ้ายและอัดฝ้าย ได้เดือนละ 500 ตัน,150,5,แจ้งวัฒนะ,1630,12583000,3-2(4)-1/23นบ,5836392,-10120000125231-,3,,70,70,408.5,13/10/1452,บริษัท โรงงานฝ้ายบางกอก จำกัด,ปากเกร็ด,100.5071333,,ปากเกร็ด,เลขที่ 56/15,20,13.90736667,นนทบุรี,170,11120
ผลิตน้ำดื่ม,100,10,,11041,133000000,3-20(1)-14/66นบ,658186958,-10120084925662-,3,,71,71,2229.3,29/05/1480,บริษัท ไทย อควาเฟรช จำกัด,ไทรใหญ่,100.292106,วัดสโมสร,ไทรน้อย,เลขที่ 98,169,14.048791,นนทบุรี,269,11150
ผลิตน้ำดื่ม และผลิตขวดพลาสติก,30,4,บางบัวทอง-สุพรรณบุรี,11041,476298183,3-20(1)-24/66นบ,02-1501484,-10120161225663-,3,,72,72,4912.35,29/09/1480,บริษัท ท็อปเพชร แพ็คเกจจิ้ง จำกัด,ราษฎร์นิยม,100.326877,-,ไทรน้อย,"เลขที่ 4/8, 4/9, 4/12",46,14.064742,นนทบุรี,76,11150
ผลิตน้ำอัดลมอาร์ซเซเว่นอัพเฮาดี้และผลิตน้ำดื่ม,40,,งามวงศ์วาน,11042,20000000,3-20(3)-1/13นบ,080 6068533,-10120000125132-,3,,73,73,902.2,25/12/1427,บริษัท โชคชัยพิบูล จำกัด,บางกระสอ,100.5237333,,เมืองนนทบุรี,เลขที่ 70,62,13.8586,นนทบุรี,102,11000
ผลิตน้ำอัดลม,30000000,,งามวงศ์วาน,106000000000,,3-20(3)-1/40นบ,,-10120200125403-,,16/02/1455,74,74,100,0,บริษัท โชคชัยพิบูล จำกัด,บางกระสอ,12/11/1454,,เมืองนนทบุรี,เลขที่ 70,0,1,นนทบุรี,20000000,
ปั่นด้าย (จำนวนแกนปั่นด้าย 240 แกน),10000000,5,สนามบินน้ำ,126000000000,,3-22(1)-1/35นบ,,-10120000125355-,,15/01/1449,75,75,60,4464,บริษัท เสรีชัยยุทธภัณฑ์ จำกัด,ท่าทราย,30/11/1451,รณสิทธิพิชัย,เมืองนนทบุรี,เลขที่ 55/20,44640000,1,นนทบุรี,15000000,
ย้อมสีเส้นใย,10475590,2,ไทรน้อย-ลาดบัวหลวง,126000000000,,3-22(1)-1/36นบ,,-10120000125363-,,07/01/1451,76,76,59,21760,บริษัท เค.วี.ดี.อินดัสเทรียล จำกัด,ไทรใหญ่,14/08/1454,,ไทรน้อย,เลขที่ 23/2,2000000,1,นนทบุรี,5000000,
ซักอบรีดเสื้อผ้า,6200000,1,กรุงนนท์-จงถนอม,106000000000,,3-22(1)-1/41นบ,,-10120000125413-,,29/01/1456,77,77,37,17852,บริษัท โรงพยาบาลพญาไท 1 จำกัด,มหาสวัสดิ์,04/08/1455,วัดบางไกรใน,บางกรวย,เลขที่ 98/6,24600000,1,นนทบุรี,5000000,
ทอสายยางยืด สายเทป ทำกระดุมและฟอกย้อม (จำนวนเครื่องทอ 94 เครื่อง เครื่องถัก 5 เครื่อง),14,4,บางกรวย-ไทรน้อย,13111,22000000,3-22(2)-1/25นบ,,-10120000125256-,3,,78,78,3615.14,16/07/1439,บริษัท ยูไนเต็ดแฟบริค จำกัด,บางบัวทอง,100.3853667,,บางบัวทอง,"เลขที่ 32/2, 32/3",10,13.94288333,นนทบุรี,24,11110
ทอผ้า (จำนวนเครื่องทอผ้า 74 เครื่อง),1000000,5,สนามบินน้ำ,126000000000,,3-22(2)-1/30นบ,,-10120100125305-,,04/08/1444,79,79,65,864,บริษัท เสรีชัยยุทธภัณฑ์ จำกัด,บางกระสอ,04/08/1444,รณสิทธิพิชัย,เมืองนนทบุรี,เลขที่ 54/1/1,100000,1,นนทบุรี,2300000,
ทอผ้าและทอผ้ายืด,2000000,5,บางบัวทอง-สุพรรณบุรี,3100000000000,,3-22(2)-1/46นบ,,-10120100125461-,,08/08/1460,80,80,40,15600,บริษัท ดี เทคโน เท็กซ์ จำกัด,คลองขวาง,26/06/1460,,ไทรน้อย,เลขที่ 2/4,20000000,1,นนทบุรี,5000000,
ทอผ้า,6000000,5,ติวานนท์,126000000000,,3-22(2)-1/47นบ,,-10120000125470-,,01/03/1461,81,81,39,39168,บริษัท วินเน่อร์เท็คซ์ไทล์ จำกัด,บ้านใหม่,23/01/1461,วัดสลักเหนือ,ปากเกร็ด,เลขที่ 33/4,300000,1,นนทบุรี,5000000,
เกี่ยวกับผลิตภัณฑ์ยาง(เส้นยางยืดและแถบยางยืด),50000000,8,ติวานนท์,106000000000,,3-22(2)-2/14นบ,,-10120000225148-,,07/06/1428,82,82,22,27125,บริษัท ไทยอิลาสติค จำกัด,บางพูด,08/03/1450,,ปากเกร็ด,เลขที่ 11/1,340000000,1,นนทบุรี,7000000,
ปั่นด้ายจากใยเทียมและใยธรรมชาติทอผ้าฟอกย้อม,30259166,2,ติวานนท์,106000000000,,3-22(2)-2/35นบ,,-10120000225353-,,20/06/1452,83,83,294,96000,บริษัท อุตสาหกรรมแมนดารินสปินนิ่ง จำกัด,บ้านใหม่,25/07/1452,วัดโพธิ์ทองบน,ปากเกร็ด,เลขที่ 17/2,4000000,3,นนทบุรี,45698765,
ทอสายยางยืด สายเทปและฟอกย้อม ทอเสื้อและกางเกง,33,9,บางบัวทอง-สุพรรณบุรี,13111,48000000,3-22(2)-2/46นบ,02-9226611-3,-10120000225460-,3,100.3849,84,84,1379.83,08/08/1460,บริษัท ยูไนเต็ดแฟบริค จำกัด,ละหาร,13.94315,,บางบัวทอง,เลขที่ ,35,,นนทบุรี,68,11110
ทอผ้า ถักผ้าและฟอกย้อมแต่งสำเร็จ,183,5,ติวานนท์,13131,43986000,3-22(3)-1/15นบ,,-10120100125156-,3,,85,85,7842.8,23/03/1450,บริษัท สหไทยซินเทติกไฟเบอร์ จำกัด,บ้านใหม่,100.5302,วัดสลักเหนือ,ปากเกร็ด,เลขที่ 33/2,48,13.94125,นนทบุรี,231,11120
รับบริการซักฟอกผ้า ซักรีดผ้า เสื้อผ้าสำเร็จรูปและสิ่งทอ,0,3,บางกรวย-ไทรน้อย,13131,8100000,3-22(3)-1/45นบ,02-4475372,-10120100125453-,3,,86,86,6112.87,22/03/1459,บริษัท ทอมมาติน วอชชิ่ง จำกัด,บางสีทอง,100.4682333,ส่วนบุคคล,บางกรวย,เลขที่ 4/2,28,13.82628333,นนทบุรี,28,11130
